Year,Fixed_Date_Format,Month,Fixed_Month,Number_of_Typhoons,ONI,ONI_Category,Nino3.4_SST_anomaly,Western_Pacific_SST,Correl_SST_TyphoonNum,Vertical_Wind_Shear,Midlevel_Humidity,SeaLevelPressure,MJO_Phase,Prev_month_typhoons
2015,8/1/2015,8,August,1,1.52,El Niño,1.6,-0.35,-0.053117571,7,71.7,1004.6,1,0
2015,9/1/2015,9,September,1,1.57,El Niño,1.58,0.2,-0.057703847,8.3,67.3,1006.2,7,1
2015,10/1/2015,10,October,1,1.39,El Niño,1.38,-0.35,-0.057313709,9.8,62.8,1005.1,0,1
2015,11/1/2015,11,November,3,1.49,El Niño,1.4,0.68,-0.062115162,9.5,63.3,1007.2,5,1
2015,12/1/2015,12,December,1,1.37,El Niño,1.34,0.51,-0.076399588,11.5,54,1009,0,3
2016,1/1/2016,1,January,0,-0.45,Neutral,-0.49,0.14,-0.073785907,12.3,58,1011.1,1,1
2016,2/1/2016,2,February,0,-0.5,La Niña,-0.51,0.68,-0.074208283,12.9,61.6,1010.6,0,0
2016,3/1/2016,3,March,0,-0.53,La Niña,-0.46,-0.41,-0.061295843,13,51,1008.4,0,0
2016,4/1/2016,4,April,0,-0.52,La Niña,-0.6,0.58,-0.077266503,11.4,65,1008.5,5,0
2016,5/1/2016,5,May,0,-0.58,La Niña,-0.58,0.69,-0.066200632,10.7,56,1007.8,1,0
2016,6/1/2016,6,June,3,-0.52,La Niña,-0.52,0.16,-0.051763945,7.4,64.7,1004.6,8,0
2016,7/1/2016,7,July,1,-0.47,Neutral,-0.49,-0.44,-0.052595832,8.2,72.1,1004.9,3,3
2016,8/1/2016,8,August,2,-0.45,Neutral,-0.47,0.15,-0.059438743,8.4,70.4,1004.4,7,1
2016,9/1/2016,9,September,2,-0.27,Neutral,-0.2,-0.23,-0.059531498,8.9,72.5,1004.5,7,2
2016,10/1/2016,10,October,5,-0.67,La Niña,-0.63,-0.26,-0.056873456,9,64.6,1004.5,0,2
2016,11/1/2016,11,November,3,-0.21,Neutral,-0.12,0.2,-0.031607857,9.8,68,1007.8,4,5
2016,12/1/2016,12,December,1,-0.42,Neutral,-0.31,-0.14,-0.033216171,11.8,54.8,1010.8,7,3
2017,1/1/2017,1,January,0,0.08,Neutral,0.06,0.49,-0.036216709,12.2,53.6,1009.7,7,1
2017,2/1/2017,2,February,0,-0.07,Neutral,-0.02,-0.27,-0.026483567,12,51.8,1010.5,4,0
2017,3/1/2017,3,March,1,-0.04,Neutral,-0.03,0.68,-0.039609487,11.5,55.9,1009.7,3,0
2017,4/1/2017,4,April,1,-0.13,Neutral,-0.11,0.29,-0.034381249,10.9,62.2,1008.8,2,1
2017,5/1/2017,5,May,1,0.03,Neutral,-0.01,0.02,-0.032838305,10.8,57.2,1008.6,8,1
2017,6/1/2017,6,June,2,0.08,Neutral,0,0.62,-0.034299303,7.8,71.8,1004.8,5,1
2017,7/1/2017,7,July,4,0.15,Neutral,0.14,0.47,-0.039015421,8.2,68.2,1005.6,6,2
2017,8/1/2017,8,August,2,-0.01,Neutral,0.04,0.54,-0.056611399,8.3,70.8,1004.5,6,4
2017,9/1/2017,9,September,2,-0.09,Neutral,-0.14,-0.02,-0.061166625,8.1,67.6,1003.4,7,2
2017,10/1/2017,10,October,2,-0.16,Neutral,-0.15,0.41,-0.059722161,8.6,64,1004.2,7,2
2017,11/1/2017,11,November,3,-0.01,Neutral,0.03,-0.05,-0.062839225,10.6,65.4,1007,7,2
2017,12/1/2017,12,December,0,0.07,Neutral,0,0.35,-0.057435808,12.3,51.1,1009.3,7,3
2018,1/1/2018,1,January,2,-0.16,Neutral,-0.23,-0.1,-0.050854136,13,57.6,1010.3,6,0
2018,2/1/2018,2,February,0,-0.44,Neutral,-0.45,0.23,-0.04858051,13.1,54.5,1010.6,6,2
2018,3/1/2018,3,March,0,-0.27,Neutral,-0.29,0.46,-0.045674651,13.4,57.1,1008.7,8,0
2018,4/1/2018,4,April,0,-0.38,Neutral,-0.33,0.03,-0.035153554,10.1,59.5,1008.5,4,0
2018,5/1/2018,5,May,0,-0.45,Neutral,-0.44,0.41,-0.038738039,10.6,66.3,1008.1,8,0
2018,6/1/2018,6,June,0,-0.27,Neutral,-0.27,-0.43,-0.029292567,8.1,66.6,1006.2,7,0
2018,7/1/2018,7,July,1,-0.27,Neutral,-0.29,0.57,-0.05023459,8.4,69.9,1005.5,2,0
2018,8/1/2018,8,August,2,-0.4,Neutral,-0.42,0.48,-0.044732607,8.1,70.4,1004,7,1
2018,9/1/2018,9,September,3,-0.38,Neutral,-0.4,0.49,-0.048311805,8.5,67.9,1005.1,4,2
2018,10/1/2018,10,October,4,-0.48,Neutral,-0.48,0.47,-0.061098459,9.1,67,1006.2,4,3
2018,11/1/2018,11,November,0,-0.21,Neutral,-0.17,0.3,-0.0830192,10.3,69.6,1009,6,4
2018,12/1/2018,12,December,1,-0.2,Neutral,-0.21,0.25,-0.076575216,12.5,50.5,1009.8,0,0
2019,1/1/2019,1,January,1,0.58,El Niño,0.6,0.51,-0.074766869,12.5,54.4,1009.6,4,1
2019,2/1/2019,2,February,0,0.67,El Niño,0.73,-0.11,-0.069809763,13.7,54.6,1008.9,1,1
2019,3/1/2019,3,March,0,0.89,El Niño,0.91,-0.17,-0.078945811,13.8,49,1009,8,0
2019,4/1/2019,4,April,0,0.56,El Niño,0.52,0.57,-0.0911507,10.9,64.7,1007.7,0,0
2019,5/1/2019,5,May,0,0.78,El Niño,0.77,0.7,-0.073592222,11.8,63.5,1006.8,5,0
2019,6/1/2019,6,June,4,0.63,El Niño,0.71,0.66,-0.049496423,8.8,72.9,1006.4,8,0
2019,7/1/2019,7,July,1,0.7,El Niño,0.73,-0.11,-0.087642221,8.6,68.5,1006.1,8,4
2019,8/1/2019,8,August,1,0.64,El Niño,0.7,-0.29,-0.09155629,7.9,73.8,1004.6,3,1
2019,9/1/2019,9,September,1,0.49,Neutral,0.48,0.43,-0.099762724,8.5,69.8,1005.9,2,1
2019,10/1/2019,10,October,3,0.73,El Niño,0.79,-0.34,-0.094355218,9.3,69.4,1004.1,6,1
2019,11/1/2019,11,November,3,0.72,El Niño,0.77,-0.45,-0.079744145,9.5,66.8,1008,2,3
2019,12/1/2019,12,December,0,0.66,El Niño,0.59,-0.1,-0.060234101,11.6,54.8,1009.5,0,3
2020,1/1/2020,1,January,0,-0.98,La Niña,-0.98,-0.12,-0.071096242,12,58.5,1008.4,4,0
2020,2/1/2020,2,February,3,-1.07,La Niña,-1.1,-0.16,-0.083661598,12.3,51.1,1010.9,8,0
2020,3/1/2020,3,March,0,-0.96,La Niña,-0.89,0.5,-0.073550748,14,51.7,1010.3,4,3
2020,4/1/2020,4,April,0,-1,La Niña,-0.97,0.62,-0.05484969,10.4,57.9,1007.4,6,0
2020,5/1/2020,5,May,1,-0.99,La Niña,-0.97,-0.12,-0.028309116,11.3,54.6,1008.6,2,0
2020,6/1/2020,6,June,3,-0.91,La Niña,-0.87,0.21,-0.03383995,7.5,67.8,1003.4,5,1
2020,7/1/2020,7,July,2,-1.03,La Niña,-1.03,0.52,-0.038348168,8,72.4,1006.2,6,3
2020,8/1/2020,8,August,4,-1.09,La Niña,-1.19,-0.36,-0.042916414,8.5,68.9,1006.2,5,2
2020,9/1/2020,9,September,3,-1.06,La Niña,-1.05,0.37,-0.008066427,8.4,69.5,1005.3,1,4
2020,10/1/2020,10,October,2,-1.02,La Niña,-0.99,0.25,-0.020631321,9.9,61.6,1006.4,5,3
2020,11/1/2020,11,November,3,-1.22,La Niña,-1.27,0.47,-0.022573634,10,66.9,1006.7,5,2
2020,12/1/2020,12,December,4,-0.84,La Niña,-0.83,0.29,-0.041475492,11.8,52.6,1010.2,8,3
2021,1/1/2021,1,January,0,-0.67,La Niña,-0.74,-0.1,-0.060188908,13.5,52.5,1010.6,7,4
2021,2/1/2021,2,February,1,-0.7,La Niña,-0.72,0.53,-0.071740021,13.5,53.8,1009.3,8,0
2021,3/1/2021,3,March,0,-0.91,La Niña,-0.94,-0.28,-0.063339621,12.8,58.2,1009.4,4,1
2021,4/1/2021,4,April,0,-0.89,La Niña,-0.87,0.23,-0.087646701,10.7,56.7,1007.7,4,0
2021,5/1/2021,5,May,0,-1,La Niña,-0.99,0.36,-0.079275368,10.6,56.5,1008.5,0,0
2021,6/1/2021,6,June,1,-0.87,La Niña,-0.93,-0.13,-0.061903968,7.7,71.5,1005.2,8,0
2021,7/1/2021,7,July,0,-0.81,La Niña,-0.81,0.49,-0.068482202,7.8,69.9,1005.4,3,1
2021,8/1/2021,8,August,3,-0.87,La Niña,-0.9,0.13,-0.040719799,8.8,69.8,1005.5,4,0
2021,9/1/2021,9,September,2,-0.88,La Niña,-0.94,-0.09,-0.043920268,7.8,74.4,1004.4,4,3
2021,10/1/2021,10,October,3,-1.07,La Niña,-0.96,0.63,-0.042358024,9,65.2,1006.2,1,2
2021,11/1/2021,11,November,1,-0.92,La Niña,-0.86,0.35,-0.075734177,9.3,62.5,1006.5,3,3
2021,12/1/2021,12,December,3,-0.75,La Niña,-0.64,0.29,-0.0674436,12.4,54.4,1010,6,1
2022,1/1/2022,1,January,0,-0.93,La Niña,-0.95,-0.37,-0.082324558,12.3,58.8,1010.4,2,3
2022,2/1/2022,2,February,0,-1.25,La Niña,-1.29,-0.26,-0.11933959,12.3,57.7,1010.2,1,0
2022,3/1/2022,3,March,0,-1.09,La Niña,-1.1,-0.08,-0.150089581,13,52.8,1009.6,6,0
2022,4/1/2022,4,April,1,-1.3,La Niña,-1.29,0.31,-0.165765627,10.4,63.2,1007,6,0
2022,5/1/2022,5,May,1,-1.15,La Niña,-1.19,-0.5,-0.157537803,10.8,63.2,1007.7,5,1
2022,6/1/2022,6,June,1,-1.32,La Niña,-1.47,-0.03,-0.194103384,8.5,75.7,1004.5,6,1
2022,7/1/2022,7,July,5,-1.1,La Niña,-1.11,0.13,-0.200747539,7.6,75.1,1005.7,2,1
2022,8/1/2022,8,August,1,-1.25,La Niña,-1.27,0.13,-0.216072026,8.1,67.6,1004.5,5,5
2022,9/1/2022,9,September,2,-1.17,La Niña,-1.14,0.22,-0.214664269,7.5,73,1003.6,2,1
2022,10/1/2022,10,October,1,-1.28,La Niña,-1.26,0.17,-0.216574363,9.3,64,1004.1,4,2
2022,11/1/2022,11,November,1,-1.04,La Niña,-1.01,0.36,-0.213108714,9.8,62.1,1006.7,7,1
2022,12/1/2022,12,December,0,-1.38,La Niña,-1.37,0.06,-0.202486879,12.7,57.3,1010.3,1,1
2023,1/1/2023,1,January,2,0.05,Neutral,0.06,-0.48,-0.206169232,13.1,57.2,1009.8,5,0
2023,2/1/2023,2,February,0,0.02,Neutral,-0.03,0.32,-0.219785475,12.7,62,1008.3,6,2
2023,3/1/2023,3,March,0,-0.1,Neutral,-0.04,-0.44,-0.195935079,12.9,48.2,1009.5,8,0
2023,4/1/2023,4,April,0,0.03,Neutral,0.03,0.06,-0.292121089,10.3,55.8,1008.4,1,0
2023,5/1/2023,5,May,0,0.07,Neutral,0.05,-0.03,-0.305971557,10.9,57.3,1007,2,0
2023,6/1/2023,6,June,0,0.09,Neutral,0.05,0.54,-0.339620389,8.7,70.1,1006.1,1,0
2023,7/1/2023,7,July,1,0.12,Neutral,0.05,0.39,-0.282931242,8,71.7,1004.4,2,0
2023,8/1/2023,8,August,2,-0.04,Neutral,-0.01,0.53,-0.253972813,8.3,69.5,1003.1,2,1
2023,9/1/2023,9,September,5,0.01,Neutral,0.05,0.27,-0.246098588,8.1,65.2,1004.3,4,2
2023,10/1/2023,10,October,2,0.17,Neutral,0.2,-0.11,-0.313453144,9.3,60.9,1005.1,3,5
2023,11/1/2023,11,November,2,0,Neutral,-0.16,-0.36,-0.323705658,10,67.5,1007.5,5,2
2023,12/1/2023,12,December,1,0.03,Neutral,0.05,0,-0.372243947,12.7,51.9,1010.2,8,2
2024,1/1/2024,1,January,0,0.94,El Niño,0.97,0.16,-0.39132698,12.7,55.8,1010.7,7,1
2024,2/1/2024,2,February,1,0.96,El Niño,0.94,0.15,-0.38480998,12.1,54.8,1009,6,0
2024,3/1/2024,3,March,1,0.87,El Niño,0.77,0.53,-0.376360942,12.6,51.8,1009.4,0,1
2024,4/1/2024,4,April,0,1.06,El Niño,1.05,-0.15,-0.287111001,10.3,63.2,1007.7,2,1
2024,5/1/2024,5,May,1,0.84,El Niño,0.82,-0.08,-0.419350709,11.3,61.7,1007.4,8,0
2024,6/1/2024,6,June,5,1.04,El Niño,1,-0.38,-0.526674575,7.8,69.3,1004.3,6,1
2024,7/1/2024,7,July,8,0.89,El Niño,0.92,-0.02,-0.538997486,7.9,68.8,1003.3,5,5
2024,8/1/2024,8,August,7,0.95,El Niño,0.91,-0.24,-0.58494721,7.6,65.7,1005.3,0,8
2024,9/1/2024,9,September,3,0.96,El Niño,0.93,-0.35,-0.3108734,8.9,73.9,1005,2,7
2024,10/1/2024,10,October,2,0.99,El Niño,0.94,0.31,-0.298476186,9.1,59.2,1005.7,6,3
2024,11/1/2024,11,November,4,1.06,El Niño,1.02,0.41,-1,9.7,62.2,1008.4,5,2
2024,12/1/2024,12,December,1,1.09,El Niño,1.09,0.5,N/A,12.5,57.8,1009.3,3,4
